"","results"
"264","Here are the extracted details:

1. **Kampong**:
	* Jerudong
2. **Price**:
	* BND 328,000 (approximately USD 248,000)
3. **Type**:
	* Semi-detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* New
6. **Land size**:
	* 0.114 acres (or approximately 462 sqm)
7. **Floor size**:
	* 2825 sq ft
8. **Beds**:
	* 4 rooms (assumed to be bedrooms)
9. **Baths**:
	* 3 toilets (assumed to be bathrooms)
10. **Land type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit completed
	* Remaining details not provided"
"265","Here are the extracted details:

**Kampong (Village in Brunei):**
None mentioned specifically, but it's located at Kasat Kekal.

**Price:**
RM 130,000.00

**Type:**

* Apartment: None
* Bungalow: Semi-detached
* Detached: None
* Semi-detached: Yes

**Storey:**
Not specified (single or double storey)

**Status:**
Under-construction

**Land Size:**
0.0758ac - 0.0790ac (approximately)

**Floor Size:**
1,215.23 sq ft

**Beds:**
4 rooms (assuming 4 bedrooms)

**Baths:**
2 toilets (assuming 2 bathrooms)

**Land Type:**

* Leasehold: Not specified
* In perpetuity: Not specified
* Kekal: Yes (located at Kasat Kekal)"
"266","Here are the extracted details:

1. **Kampong (Village)**: Jerudong
2. **Price**: $380,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double Storey
5. **Status**: Under-Construction
6. **Land Size**: 0.1236ac (approx. 2855.12 sq ft)
7. **Floor Size**: Not explicitly mentioned (assumed to be the same as land size)
8. **Beds**: 6 rooms
9. **Baths**: 5 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* Proposed development
	* Remaining details not specified"
"267","Here are the extracted details:

1. **Kampong**: Not explicitly mentioned, but it seems to be referring to a location in Brunei.
2. **Price**:
	* Starting price: RM 0.15k
	* Price increment: RM 4k per unit increase (e.g., 0.20k = RM 16k)
3. **Type**: 
	* Not mentioned, but the context suggests it's related to land sale.
4. **Storey**: Not applicable, as it's a land sale.
5. **Status**:
	* Available for sale
6. **Land_size**: 5.01 ekar (approximately 2 hectares)
7. **Floor_size**: Not applicable, as it's a land sale.
8. **Beds**: Not mentioned, but likely not relevant to a land sale.
9. **Baths**: Not mentioned, but likely not relevant to a land sale.
10. **Land_type**: 
	* In perpetuity (Kekal)
11. **Additional Remark**:
	* Minimum deposit: RM 500
	* Only for booking; full refund with bank rejection letter"
"268","Here are the extracted details:

1. **Kampong**:
	* Not mentioned in the text.
2. **Price**:
	* $1,500 per month
3. **Type**:
	* Apartment (not explicitly mentioned, but ""house"" is used which might imply a bungalow)
4. **Storey**:
	* Not mentioned (implied to be a single storey house)
5. **Status**:
	* For rent (unfurnished)
6. **Land Size**:
	* Not mentioned
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* Number of bedrooms not specified (assuming 3-4 based on typical Brunei houses, but no information provided)
9. **Baths**:
	* Not specified
10. **Land Type**:
	* Not mentioned (implied to be Leasehold or In perpetuity or Kekal, but actual land type is unknown)
11. **Additional Remark**:
	* ""Aircond curtain unfurnished"" (additional features of the house)"
"269","Here are the extracted details:

1. **Kampong (Village in Brunei):** None mentioned
2. **Price:** $260,000.00
3. **Type:**
	* Detached house
4. **Storey:** Double storey
5. **Status:** Under-construction
6. **Land size:** 0.19 acres
7. **Floor size:** 2783 sqft (approximate)
8. **Beds:** 4 rooms
9. **Baths:** 4 toilets
10. **Land type:** Kekal (In perpetuity)
11. **Additional Remark:**
	* At Tutong
	* Leasehold status not mentioned (implied to be Kekal, In perpetuity)"
"270","Here are the extracted details:

**Kampong:** Kiarong

**Price:** $395,000.00

**Type:**

* Semi-detached
* 3-storey
* No mention of apartment, bungalow, or detached.

**Storey:** Double storey (mentioned as ""3 stry"")

**Status:** Not mentioned, but assumed to be ""proposed"" since it's for sale.

**Land_size:** 0.109 acres

**Floor_size:** 3896 sqft

**Beds:** 7 rooms (assuming bedrooms)

**Baths:** 6 toilets (assuming bathrooms)

**Land_type:** Kekal"
"271","Here are the extracted details:

**Kampong**: Dadap (note: it seems to be a specific kampong in Brunei)

**Price**: B$330,000.00

**Type**: Detached house (not among the specific types mentioned, but implied as ""detached"")

**Storey**: Double storey

**Status**: Under-construction

**Land Size**: 0.138 acres

**Floor Size**: Not explicitly stated (implied to be 330,000 B$ based on price alone)

**Beds**: 4 bedrooms

**Baths**: 4 toilets (not bathrooms, but toilets; implying it's a separate number from the bedrooms)

**Land Type**: Kekal (in perpetuity)"
"272","Here are the extracted details:

* **Kampong:** Kampong Kilanas-Mulaut
* **Price:** B$343,000.00 (negotiable)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-Detached: Yes (4 units double storey semi-detached house)
* **Storey:** Double storey
* **Status:** Ready to move in (1 unit) and under-construction (the rest)
* **Land_size:** 0.109 acres (approx.)
* **Floor_size:** Approx. 2551 sqft per unit
* **Beds:** 4 bedrooms per unit
* **Baths:** 4 toilets per unit (assuming each toilet is a bathroom)
* **Land_type:** Kekal
* **Additional Remark:**
	+ Build-in cabinet for kitchen
	+ Wardrobe for master bedroom
	+ Flooring for first floor bedrooms
	+ Water tank and water pump"
"273","Here are the extracted details:

**Kampong:** Not mentioned explicitly, but it seems to be referring to a village in Brunei.

**Price Details:**

* Price per land size:
	+ 0.15k = $12
	+ 0.20k = $16
	+ 0.25k = $20
	+ 0.30k = $24
	+ 0.35k = $28
	+ 0.40k = $32
	+ 0.45k = $36
	+ 0.50k = $40
* Minimum deposit: 500 (not clear what this is for)
* Total price per ekar:
	+ 1ekar = 70k

**Type:**

* None mentioned explicitly, but the context suggests it's referring to land for sale.

**Storey:**

* Not mentioned explicitly.

**Status:**

* Proposed or new (not clear which one).

**Land Size:**

* Starting from 0.15ekar and going up to 1ekar in increments of 0.05ekar.

**Floor Size:**

* Not applicable, as it's referring to land for sale.

**Beds:** 

* Not mentioned explicitly.

**Baths:** 

* Not mentioned explicitly.

**Land Type:**

* Kekal (in perpetuity)

**Additional Remark:**

* The remaining details seem to be instructions on how to book and pay for the land, including a minimum deposit of 500 and a full refund with bank rejection letter."
"274","Here are the extracted details:

* **Kampong**: Bunut
* **Price**: $138,000.00
* **Type**:
	+ Apartment: No
	+ Bungalow: Yes (semi-detached)
	+ Detached: No
	+ Semi-Detached: Yes
* **Storey**: Single storey
* **Status**: Under-construction (unit piling now)
* **Land Size**: 0.0552 acres
* **Floor Size**: 1,100 sq ft
* **Beds**: 3 rooms
* **Baths**: 2 toilets
* **Land Type**: Leasehold (85 years)
* **Additional Remark**:
	+ Located at Last Unit
	+ Piling now"
"275","Here are the extracted details:

**Kampong:** Lumapas (village in Brunei)

**Price:** $212,000.00

**Type:**

* Apartment: Not mentioned
* Bungalow: Yes
* Detached: Yes
* Semi-detached: Not mentioned

**Storey:** Single storey

**Status:** Nearly completed and for sale

**Land Size:** 0.125 acres (approximately 5060 sq ft)

**Floor Size:** 1370 sq ft

**Beds:** 3 rooms (assuming bedrooms, not specified as beds)

**Baths:** 2 toilets (assuming bathrooms, not specified as baths)

**Land Type:** Kekal (in perpetuity)"
"276","Here are the extracted details:

1. **Kampong (Village)**:
	* Tg Nangka
2. **Price**:
	* Original price: 208k
	* Now offer: 199k
3. **Type**:
	* Apartment: No mention
	* Bungalow: No mention
	* Detached: No mention
	* Semi-detached: Yes, double storey semi-detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land Size**:
	* 0.070ac ( acres)
7. **Floor Size**:
	* 1880 sq ft
8. **Beds**:
	* 4 rooms
9. **Baths**:
	* 3 toilets
10. **Land Type**:
	* Kekal
11. **Additional Remark**:
	* Now offer (indicating a price reduction or promotion)
	* Under construction"
"277","Here are the extracted details:

**kampong:**
- Sungai Tilong (the village in Brunei mentioned)

**price:**
- $298,000.00

**type:**
- Detached house
- Double storey

**storey:**
- Double storey

**status:**
- Under-construction

**land_size:**
- 0.111 acres

**floor_size:**
- 2,297 sq ft

**beds:**
- 4 rooms (assumed to be bedrooms)

**baths:**
- 3 toilets (assumed to be bathrooms)

**land_type:**
- Leasehold
- Remaining lease: 31 years

**Additional Remark:**
- Sold only to Rakyat Jati (local people)
- Only for the local people"
"278","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: $420,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Ready to move in (new)
6. **Land_size**: 0.23 acres
7. **Floor_size**: 4300 sq ft
8. **Beds**: 6 rooms (assuming bedrooms, but not explicitly stated)
9. **Baths**: 6 toilets (assuming bathrooms, but not explicitly stated)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Ready to move in
	* Move-in ready"
"279","Here are the extracted details:

1. **Kampong**:
	* Kiarong (village in Brunei)
2. **Price**:
	* B$235,000.00
3. **Type**:
	* Semi-detached
4. **Storey**:
	* Three storey
5. **Status**:
	* Ready to move in
6. **Land_size**:
	* Not mentioned (not relevant to this property)
7. **Floor_size**:
	* 2188 sq ft
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 5 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal (land tenure in Brunei)
11. **Additional Remark**:
	* Ready to move in, kekal land tenure
12. **Type of property**:
	* House"
"280","Here are the extracted details:

1. **Kampong**:
	* Mata-Mata (village in Brunei)
2. **Price**: 
	* $570,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Completed
6. **Land_size**:
	* 0.173 acres (approx.)
7. **Floor_size**:
	* 4,630 sqft
8. **Beds**:
	* 5 bedrooms
9. **Baths**:
	* 5 bathrooms
10. **Land_type**:
	* Kekal (land held in perpetuity)
11. **Additional Remark**:
	* Additional details are not specified.
12. **Caption**:
	* ""double storey detached house at mata-mata completed"""
"281","Here are the extracted details:

1. **Kampong**:
	* Lumapas (village in Brunei)
2. **Price**:
	* B$188,000.00 - B$195,000.00
3. **Type**:
	* Bungalow
4. **Storey**:
	* Single storey
5. **Status**:
	* Proposed / Piling soon (Note: The status seems to indicate that the development is proposed and piling work will be done soon)
6. **Land_size**:
	* 0.11 acres
7. **Floor_size**: 
	* Not mentioned (Note: Floor size was not extracted as it was not present in the text)
8. **Beds**:
	* 3 bedrooms
9. **Baths**:
	* 2 toilets
10. **Land_type**:
	* Kekal (a type of land tenure in Brunei, meaning perpetual or hereditary title)
11. **Additional Remark**: 
	* Can only be sold to Rakyat Jati (native people of Brunei)"
"282","Here are the extracted details:

**Kampong (Village in Brunei) mentioned:** Tg Bunut

**Price Details:** 
- Rent price: RM 1,000 per month
- Nett (no agent commission)

**Type of Property:**
- Apartment: No
- Bungalow: No
- Detached: Yes
- Semi-Detached: No

**Storey:**
- Single Storey: No
- Double Storey: Yes

**Status:**
- New: No
- Proposed: No
- Under-construction: No ( likely completed or occupied)

**Land Details:**
- Land Size: Not mentioned
- Floor Size: Not explicitly mentioned, but ""double storey"" implies a total floor area of around 2x the floor size

**Bedrooms and Bathrooms:** 
- Beds: 5 bedrooms
- Baths: 4 toilets (assuming 1 bathroom per toilet)

**Land Type:** Not mentioned

**Additional Remark:** Unfurnished"
"283","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $320,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Yes (double storey)
4. **Storey**: Double Storey
5. **Status**: Proposed
6. **Land_size**: 0.07 acres (approximately 2,879 sq ft)
7. **Floor_size**: 2,218 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 4 toilets
10. **Land_type**: Kekal (In perpetuity)
11. **Additional Remark**: The property is a double storey semi-detached house at Jerudong."
"284","Here are the extracted details:

**Kampong (Village in Brunei)**: Kasat Kekal

**Price**: $130,000.00

**Type**:
	* Apartment: No
	* Bungalow: Yes
	* Detached: No
	* Semi-Detached: Yes

**Storey**: Not specified (but mentioned as ""single storey"" is not explicitly stated, while double storey is also not mentioned)

**Status**: Under Construction

**Land Size**:
	* In acres: 0.0758ac to 0.0790ac
	* In square feet: 1,215.23 sq ft (approximate conversion)

**Floor Size**: Not explicitly stated (assuming the floor size is approximately equal to the floor area, which is mentioned as 1,215.23 sq ft)

**Beds**: 4 rooms

**Baths**: 2 toilets

**Land Type**: Kasat Kekal (a type of land tenure in Brunei)

**Additional Remark**: The remaining details are:
	* Under construction
	* Semi-detached bungalow house"
"285","Here are the extracted details:

**Kampong:**
* No specific kampong is mentioned.

**Price Details:**
* The prices vary based on land size:
	+ $0.15k - 12k (for land size of 0.2 ekar)
	+ $16k - 20k (for land size of 0.25 ekar)
	+ $24k - 28k (for land size of 0.30 ekar)
	+ $32k - 36k (for land size of 0.35 ekar)
	+ $40k - 40k (for land size of 0.4 ekar)
	+ $45k - 46k (for land size of 0.45 ekar)
	+ $50k (for land size of 0.5 ekar)
	+ $70k (for land size of 1 ekar)

**Type:**
* No specific type is mentioned, but the context suggests it's a plot of land.

**Storey:**
* Not applicable, as it's a land sale.

**Status:**
* The status is not explicitly stated, but the phrase ""5 left kg bokok temburung"" might suggest that the plots are available for sale.

**Land Size:**
* Various sizes:
	+ 0.2 ekar
	+ 0.25 ekar
	+ 0.3 ekar
	+ 0.35 ekar
	+ 0.4 ekar
	+ 0.45 ekar
	+ 0.5 ekar
	+ 1 ekar

**Floor Size:**
* Not applicable, as it's a land sale.

**Beds/Baths:**
* Not applicable, as it's a land sale.

**Land Type:**
* Kekal (in perpetuity)

**Additional Remark:**
* The plot is near Sungai Keluasan.
* The price can be adjusted if the buyer wants to purchase more than 0.2 ekar of land.
* A minimum deposit of $500 is required for booking, and a full refund will be provided with a bank rejection letter.

**Type of Property:**
* No specific type of property (apartment, bungalow, detached, semi-detached) is mentioned.

Note that some details might not be applicable or might require further clarification."
